City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kogalym,62.2654,74.4791,-11.47,89,100,4.05,RU,1706215460
83,igrim,63.1906,64.4162,-20.91,100,52,1.46,RU,1706215461
84,thompson,55.7435,-97.8558,-7.91,86,100,2.06,CA,1706215461
85,olonkinbyen,70.9221,-8.7187,2.16,91,100,17.38,SJ,1706215461
86,hawaiian paradise park,19.5933,-154.9731,27.8,77,0,2.57,US,1706215341
87,kourou,5.1552,-52.6478,29.03,73,25,4.12,GF,1706215461
88,san patricio,19.2167,-104.7,28.06,78,0,7.2,MX,1706215461
89,nemuro,43.3236,145.575,-0.01,86,100,10.03,JP,1706215462
90,kodiak,57.79,-152.4072,-4.27,74,0,0.0,US,1706215454
91,kununurra,-15.7667,128.7333,25.99,94,78,1.54,AU,1706215462
92,uruacu,-14.5247,-49.1408,25.2,91,100,1.14,BR,1706215242
93,obidos,39.3606,-9.1567,15.16,90,93,1.69,PT,1706215462
94,khandyga,62.6667,135.6,-27.29,100,100,1.2,RU,1706215462
95,san jose de jachal,-30.2406,-68.7469,34.97,15,0,6.17,AR,1706215463
96,naliya,23.2667,68.8333,18.34,39,68,3.08,IN,1706215463
97,san fernando,15.0286,120.6898,21.85,81,93,3.24,PH,1706215463
98,ketchikan,55.3422,-131.6461,7.99,93,100,3.6,US,1706215463
99,lihue,21.9789,-159.3672,25.2,73,0,2.57,US,1706215464
100,uturoa,-16.7333,-151.4333,27.37,76,99,3.09,PF,1706215464
101,ilulissat,69.2167,-51.1,-19.99,50,20,1.54,GL,1706215464
102,isagarh,24.8333,77.8833,10.67,41,12,2.37,IN,1706215464
103,yellowknife,62.456,-114.3525,-19.21,88,100,5.66,CA,1706215464
104,san rafael del yuma,18.4299,-68.6739,29.11,66,43,7.7,DO,1706215464
105,brady,31.1352,-99.3351,23.07,42,0,4.63,US,1706215465
106,nguigmi,14.2495,13.1092,19.51,32,100,6.83,NE,1706215465
107,kolonia town,6.964,158.206,27.06,83,100,5.14,FM,1706215465
108,bridgewater,44.3835,-64.5155,4.79,88,100,6.17,CA,1706215269
109,myaydo,19.3667,95.2167,19.4,62,81,2.12,MM,1706215465
110,bandarbeyla,9.4942,50.8122,24.22,75,1,5.79,SO,1706215466
111,klyuchi,52.2667,79.1667,-9.7,78,100,4.25,RU,1706215466
112,demre,36.2537,29.9777,12.55,68,69,2.17,TR,1706215466
113,rio grande,-32.035,-52.0986,26.06,61,1,5.74,BR,1706215466
114,iskateley,67.6803,53.1512,-10.55,97,92,3.58,RU,1706215466
115,buncrana,55.1333,-7.45,11.87,80,98,9.37,IE,1706215466
116,zarinsk,53.7074,84.9493,-22.24,99,47,1.06,RU,1706215467
117,usinsk,65.9939,57.5281,-8.85,95,100,5.81,RU,1706215467
118,palikir - national government center,6.9248,158.1611,26.47,83,100,5.14,FM,1706215467
119,braunlingen,47.9333,8.45,8.72,99,100,2.01,DE,1706215467
120,newman,37.3138,-121.0208,16.24,68,0,2.68,US,1706215467
121,alofi,-19.0595,-169.9187,27.94,89,75,2.57,NU,1706215467
122,aasiaat,68.7098,-52.8699,-25.11,99,98,2.31,GL,1706215468
123,tura,25.5198,90.2201,11.34,56,67,1.39,IN,1706215468
124,margate,51.3813,1.3862,11.04,89,100,4.47,GB,1706215468
125,haiku-pauwela,20.9219,-156.3051,23.06,87,75,5.14,US,1706215468
126,chernyshevsk,52.5243,117.0174,-28.66,100,64,0.47,RU,1706215468
127,sao joao da barra,-21.6403,-41.0511,27.05,89,50,5.25,BR,1706215469
128,nyrob,60.733,56.7202,-12.29,96,95,2.03,RU,1706215469
129,figuig (centre),32.1089,-1.2286,12.04,37,0,0.93,MA,1706215469
130,bulolo,-7.2,146.65,22.7,84,100,1.0,PG,1706215469
131,dunedin,-45.8742,170.5036,17.67,59,53,2.68,NZ,1706215469
132,mtimbira,-8.7833,36.35,21.97,88,100,0.92,TZ,1706215470
133,thakhek,17.4103,104.8307,15.08,75,100,1.19,LA,1706215470
134,bulgan,48.8125,103.5347,-20.8,81,11,1.73,MN,1706215470
135,champerico,14.3,-91.9167,36.3,60,0,6.1,GT,1706215470
136,stanley,54.868,-1.6985,10.4,91,75,3.6,GB,1706215470
137,vilyuchinsk,52.9306,158.4028,-8.37,91,96,2.0,RU,1706215470
138,loma de cabrera,19.4333,-71.6,29.14,46,17,6.5,DO,1706215470
139,talnakh,69.4865,88.3972,-27.55,84,1,3.25,RU,1706215471
140,cangas del narcea,43.1833,-6.55,10.87,64,80,2.23,ES,1706215471
141,funafuti,-8.5243,179.1942,31.0,84,40,3.6,TV,1706215471
142,atafu village,-8.5421,-172.5159,29.77,72,10,6.07,TK,1706215471
143,praia da vitoria,38.7333,-27.0667,16.14,77,40,7.94,PT,1706215471
144,holualoa,19.6228,-155.9522,25.86,67,0,7.72,US,1706215472
145,nampula,-15.1165,39.2666,21.97,83,75,3.6,MZ,1706215472
146,nantucket,41.2835,-70.0995,8.08,93,100,5.14,US,1706215257
147,kamphaeng phet,16.4834,99.5215,20.81,61,86,0.9,TH,1706215472
148,namibe,-15.1961,12.1522,24.28,84,100,3.03,AO,1706215472
149,jiazi,22.8779,116.067,10.08,70,2,4.37,CN,1706215473
150,minot,48.2325,-101.2963,-2.88,80,75,2.57,US,1706215317
151,rongelap,11.1635,166.8941,25.71,63,10,6.56,MH,1706215473
152,coquimbo,-29.9533,-71.3436,19.85,77,40,5.66,CL,1706215473
153,hovd,48.0056,91.6419,-23.14,93,15,0.34,MN,1706215473
154,acarau,-2.8856,-40.12,27.68,76,92,5.63,BR,1706215474
155,fort bragg,35.139,-79.006,21.57,94,100,0.89,US,1706215474
156,altamira,-3.2033,-52.2064,31.05,66,40,2.57,BR,1706215474
157,turiacu,-1.6633,-45.3717,27.61,73,92,2.89,BR,1706215474
158,kuala terengganu,5.3302,103.1408,26.97,89,40,2.68,MY,1706215474
159,dudinka,69.4058,86.1778,-28.51,95,12,2.24,RU,1706215433
160,torroella de montgri,42.0425,3.127,13.78,90,3,1.19,ES,1706215475
161,catanzaro,38.8908,16.5987,10.97,80,4,3.09,IT,1706215475
162,west bay,19.3667,-81.4167,29.47,70,40,7.72,KY,1706215475
163,westport,41.1415,-73.3579,13.99,95,100,0.0,US,1706215298
164,kingston,17.997,-76.7936,30.69,66,40,9.26,JM,1706215314
165,urengoy,65.9667,78.3667,-9.39,95,100,4.21,RU,1706215475
166,morehead city,34.7229,-76.726,23.01,88,100,4.63,US,1706215476
167,lerwick,60.1545,-1.1494,8.0,93,100,10.46,GB,1706215352
168,sao gabriel da cachoeira,-0.1303,-67.0892,27.77,73,94,0.76,BR,1706215476
169,vorgashor,67.5833,63.95,-14.12,99,97,1.92,RU,1706215476
170,antonio enes,-16.2325,39.9086,24.34,77,77,4.44,MZ,1706215476
171,itaueira,-7.6033,-43.0256,23.78,91,100,0.29,BR,1706215476
172,pochep,52.9336,33.4464,0.28,99,100,2.21,RU,1706215477
173,lautoka,-17.6167,177.4667,26.92,83,20,2.57,FJ,1706215477
174,fale old settlement,-9.3852,-171.2468,29.93,70,14,6.7,TK,1706215477
175,thames,-37.1333,175.5333,20.13,47,0,1.15,NZ,1706215477
176,utrik,11.2278,169.8474,25.34,66,17,6.37,MH,1706215477
177,essaouira,31.5125,-9.77,16.72,41,69,0.51,MA,1706215477
178,tamiahua,21.2667,-97.45,21.37,91,100,6.51,MX,1706215478
179,konarka,19.9,86.1167,17.22,86,7,3.31,IN,1706215478
180,malabar,-33.9667,151.25,30.95,56,0,4.12,AU,1706215478
181,contai,21.7786,87.7536,16.77,67,5,2.61,IN,1706215478
182,nuuk,64.1835,-51.7216,-12.66,78,75,10.29,GL,1706215399
183,saint-francois,46.4154,3.9054,10.92,88,0,0.0,FR,1706215478
184,bodaybo,57.8506,114.1933,-13.47,97,100,1.2,RU,1706215479
185,jerome,42.7241,-114.5186,3.71,94,100,8.23,US,1706215479
186,ghanzi,-21.5667,21.7833,26.5,38,98,3.51,BW,1706215479
187,kerikeri,-35.2268,173.9474,20.51,80,13,2.19,NZ,1706215479
188,north madison,38.7678,-85.3966,14.74,98,100,0.45,US,1706215479
189,horta,38.5333,-28.6333,14.45,90,40,5.36,PT,1706215419
190,bel ombre,-4.6167,55.4167,28.91,79,20,2.06,SC,1706215480
191,kruisfontein,-34.0033,24.7314,19.38,80,25,1.16,ZA,1706215480
192,kushiro,42.975,144.3747,-3.29,71,7,7.68,JP,1706215336
193,chibougamau,49.9168,-74.3659,-6.21,68,0,1.54,CA,1706215396
194,east london,-33.0153,27.9116,22.32,78,1,8.08,ZA,1706215480
195,huejutla de reyes,21.1333,-98.4167,19.81,93,100,1.68,MX,1706215480
196,constantia,-34.0314,18.4183,20.57,83,0,3.09,ZA,1706215481
197,amuntai,-2.4177,115.2494,22.93,98,76,0.85,ID,1706215481
198,bonthe,7.5264,-12.505,27.42,82,2,3.8,SL,1706215481
199,dubrowna,54.5733,30.6906,0.38,99,100,2.49,BY,1706215481
200,new norfolk,-42.7826,147.0587,16.07,68,57,4.88,AU,1706215481
201,cabedelo,-6.9811,-34.8339,28.37,77,95,4.11,BR,1706215481
